01/07/2024 13.26.44	3802674404.41	4985200.00	1	23.56	
01/07/2024 13.26.48	3802674408.51	4985205.00	1	21.10	
01/07/2024 13.26.52	3802674412.61	4985205.00	1	20.94	
01/07/2024 13.26.56	3802674416.71	4985205.00	1	22.41	
01/07/2024 13.27.00	3802674420.76	4985205.00	1	23.23	
01/07/2024 13.27.04	3802674424.86	4985205.00	1	20.94	
01/07/2024 13.27.08	3802674428.96	4985200.00	1	22.74	
01/07/2024 13.27.13	3802674433.06	4985205.00	1	22.41	
01/07/2024 13.27.17	3802674437.16	4985205.00	1	23.72	
01/07/2024 13.27.21	3802674441.26	4985205.00	1	23.56	
01/07/2024 13.27.25	3802674445.36	4985205.00	1	24.37	
01/07/2024 13.27.29	3802674449.46	4985205.00	1	23.39	
01/07/2024 13.27.33	3802674453.56	4985200.00	1	23.23	
01/07/2024 13.27.37	3802674457.66	4985200.00	1	23.72	
01/07/2024 13.27.41	3802674461.76	4985205.00	1	23.72	
01/07/2024 13.27.45	3802674465.86	4985205.00	1	24.05	
01/07/2024 13.27.49	3802674469.96	4985205.00	1	25.35	
01/07/2024 13.27.54	3802674474.06	4985200.00	1	26.50	
01/07/2024 13.27.58	3802674478.16	4985205.00	1	27.47	
01/07/2024 13.28.02	3802674482.26	4985205.00	1	27.47	
01/07/2024 13.28.06	3802674486.36	4985205.00	1	27.31	
01/07/2024 13.28.10	3802674490.46	4985205.00	1	23.56	
01/07/2024 13.28.14	3802674494.56	4985205.00	1	26.50	
01/07/2024 13.28.18	3802674498.61	4985200.00	1	26.66	
01/07/2024 13.28.22	3802674502.66	4985205.00	1	26.33	
01/07/2024 13.28.26	3802674506.76	4985200.00	1	29.59	
01/07/2024 13.28.30	3802674510.81	4985205.00	1	29.75	
01/07/2024 13.28.34	3802674514.91	4985205.00	1	29.59	
01/07/2024 13.28.39	3802674519.01	4985205.00	1	29.43	
01/07/2024 13.28.43	3802674523.11	4985205.00	1	29.43	
01/07/2024 13.28.47	3802674527.21	4985205.00	1	29.10	
01/07/2024 13.28.51	3802674531.31	4985205.00	1	30.89	
01/07/2024 13.28.55	3802674535.41	4985205.00	1	29.75	
01/07/2024 13.28.59	3802674539.51	4985205.00	1	31.54	
01/07/2024 13.29.03	3802674543.61	4985205.00	1	38.82	
01/07/2024 13.29.07	3802674547.71	4985205.00	1	33.97	
01/07/2024 13.29.11	3802674551.81	4985205.00	1	31.70	
01/07/2024 13.29.15	3802674555.91	4985210.00	1	32.35	
01/07/2024 13.29.20	3802674560.01	4985205.00	1	33.32	
01/07/2024 13.29.24	3802674564.11	4985205.00	1	32.68	
01/07/2024 13.29.28	3802674568.21	4985205.00	1	31.87	
01/07/2024 13.29.32	3802674572.31	4985205.00	1	33.97	
01/07/2024 13.29.36	3802674576.41	4985205.00	1	34.46	
01/07/2024 13.29.40	3802674580.51	4985205.00	1	34.94	
01/07/2024 13.29.44	3802674584.61	4985205.00	1	33.00	
01/07/2024 13.29.48	3802674588.71	4985205.00	1	44.45	
01/07/2024 13.29.52	3802674592.81	4985205.00	1	35.27	
01/07/2024 13.29.56	3802674596.91	4985205.00	1	35.91	
01/07/2024 13.30.01	3802674601.01	4985205.00	1	35.59	
